Episodic Meta-Learning Training Log
==================================================
Epochs: 30, Episodes/Epoch: 500, LR: 0.001, Support: 2, DryRun: False

Epoch,TrainLoss,TrainDice,ValDice_spleen,ValDice_liver,ValDice_heart,ValDice_braintumour,AvgValDice
1,0.4334,0.3830,0.2042,0.1272,0.3502,0.4810,0.2907
2,0.3419,0.4348,0.0248,0.0023,0.3805,0.4240,0.2079
3,0.3127,0.4839,0.1156,0.0106,0.4158,0.3742,0.2291
4,0.2784,0.5447,0.1574,0.0188,0.4164,0.4561,0.2622
5,0.2824,0.5355,0.2111,0.4534,0.3938,0.2918,0.3375
6,0.2657,0.5647,0.4832,0.0472,0.4132,0.4164,0.3400
7,0.2535,0.5939,0.4544,0.0224,0.4394,0.3937,0.3275
8,0.2466,0.6039,0.3247,0.0965,0.4030,0.4250,0.3123
9,0.2327,0.6184,0.4763,0.0624,0.4088,0.4305,0.3445
10,0.2229,0.6362,0.4486,0.0697,0.3480,0.4325,0.3247
