Episodic Meta-Learning Training Log
==================================================
Epochs: 25, Episodes/Epoch: 400, LR: 0.001, Support: 2, DryRun: False

Epoch,TrainLoss,TrainDice,ValDice_spleen,ValDice_liver,ValDice_heart,AvgValDice
1,0.4433,0.3416,0.2904,0.1466,0.4517,0.2963
2,0.3531,0.4174,0.1981,0.6194,0.3726,0.3967
3,0.3162,0.4834,0.2313,0.4539,0.2063,0.2971
4,0.2882,0.5253,0.2460,0.5734,0.3292,0.3828
5,0.2816,0.5487,0.3817,0.2575,0.3232,0.3208
6,0.2654,0.5679,0.3965,0.0404,0.5269,0.3213
7,0.2501,0.5917,0.2372,0.5432,0.5838,0.4547
8,0.2520,0.5974,0.4077,0.0288,0.0717,0.1694
9,0.2300,0.6319,0.2499,0.6150,0.1834,0.3495
10,0.2426,0.6087,0.5428,0.1437,0.5084,0.3983
11,0.2110,0.6642,0.4913,0.2053,0.3254,0.3407
12,0.2039,0.6719,0.5374,0.0864,0.1939,0.2726
13,0.1844,0.7025,0.5119,0.0100,0.3611,0.2943
14,0.2059,0.6764,0.2158,0.6561,0.5209,0.4643
15,0.1906,0.6968,0.5566,0.0150,0.4895,0.3537
16,0.1659,0.7370,0.5849,0.0209,0.1802,0.2620
17,0.1714,0.7286,0.5000,0.0149,0.3057,0.2735
18,0.1680,0.7349,0.1903,0.0004,0.4218,0.2042
19,0.1710,0.7247,0.5941,0.1924,0.2264,0.3376
20,0.1498,0.7590,0.6887,0.0525,0.3743,0.3718
21,0.1657,0.7370,0.4596,0.1959,0.6617,0.4390
22,0.1550,0.7530,0.6637,0.0308,0.4055,0.3667
23,0.1375,0.7790,0.2183,0.6962,0.1969,0.3705
24,0.1536,0.7547,0.5917,0.2630,0.5172,0.4573
25,0.1346,0.7865,0.6755,0.0368,0.2825,0.3316
