Episodic Meta-Learning Training Log
==================================================
Epochs: 25, Episodes/Epoch: 400, LR: 0.001, Support: 2, DryRun: False

Epoch,TrainLoss,TrainDice,ValDice_spleen,ValDice_liver,ValDice_braintumour,AvgValDice
1,0.4317,0.3954,0.0601,0.1193,0.4109,0.1967
2,0.3386,0.4609,0.1632,0.1808,0.4218,0.2553
3,0.3240,0.4781,0.1953,0.5343,0.4240,0.3846
4,0.3135,0.5004,0.2645,0.0917,0.4029,0.2530
5,0.2883,0.5437,0.3559,0.1302,0.4827,0.3229
6,0.2660,0.5808,0.3531,0.1707,0.4799,0.3346
7,0.2750,0.5643,0.3970,0.1027,0.3508,0.2835
8,0.2720,0.5731,0.3469,0.0724,0.5095,0.3096
9,0.2545,0.5945,0.1783,0.4307,0.4459,0.3516
10,0.2574,0.5916,0.4718,0.1099,0.4109,0.3309
11,0.2562,0.5950,0.3546,0.0858,0.5243,0.3216
12,0.2347,0.6221,0.5772,0.0352,0.2884,0.3003
13,0.2288,0.6383,0.4311,0.0119,0.3581,0.2670
14,0.2264,0.6410,0.3707,0.0842,0.5087,0.3212
15,0.2008,0.6834,0.4053,0.0668,0.4423,0.3048
16,0.2172,0.6573,0.4216,0.0481,0.4561,0.3086
17,0.2044,0.6839,0.4975,0.1408,0.2952,0.3112
18,0.1997,0.6924,0.3218,0.2095,0.2837,0.2717
19,0.2098,0.6701,0.5785,0.0951,0.2940,0.3225
20,0.1820,0.7202,0.4102,0.0128,0.5320,0.3183
21,0.1842,0.7167,0.4036,0.0936,0.4877,0.3283
22,0.1814,0.7136,0.3454,0.1333,0.4268,0.3019
23,0.1864,0.7046,0.4918,0.1051,0.3401,0.3123
24,0.1641,0.7477,0.4766,0.0830,0.3757,0.3118
25,0.1860,0.7107,0.5778,0.1421,0.2168,0.3122
