Episodic Meta-Learning Training Log
==================================================
Epochs: 25, Episodes/Epoch: 400, LR: 0.001, Support: 2, DryRun: False

Epoch,TrainLoss,TrainDice,ValDice_spleen,ValDice_heart,ValDice_braintumour,AvgValDice
1,0.4122,0.3947,0.0765,0.3034,0.5351,0.3050
2,0.2902,0.4992,0.0462,0.2923,0.3997,0.2461
3,0.2617,0.5476,0.1201,0.3369,0.4825,0.3132
4,0.2206,0.6203,0.1315,0.3376,0.5130,0.3274
5,0.2100,0.6412,0.1000,0.4157,0.4203,0.3120
6,0.1949,0.6664,0.5013,0.3193,0.4841,0.4349
7,0.1991,0.6597,0.1527,0.3881,0.4481,0.3296
8,0.1860,0.6825,0.1136,0.2488,0.5403,0.3009
9,0.1732,0.7025,0.1059,0.3396,0.5008,0.3154
10,0.1758,0.6948,0.3135,0.2548,0.5315,0.3666
11,0.1765,0.6930,0.5772,0.2812,0.4822,0.4469
12,0.1534,0.7382,0.0063,0.2950,0.5361,0.2791
13,0.1482,0.7454,0.3220,0.4404,0.3978,0.3867
14,0.1450,0.7519,0.2836,0.3004,0.5050,0.3630
15,0.1729,0.6976,0.4558,0.3311,0.4800,0.4223
16,0.1544,0.7379,0.2547,0.3038,0.4988,0.3524
17,0.1452,0.7488,0.0698,0.3910,0.4827,0.3145
18,0.1414,0.7588,0.1000,0.2654,0.5230,0.2961
19,0.1396,0.7596,0.5420,0.3664,0.4562,0.4549
20,0.1339,0.7693,0.4563,0.2866,0.5072,0.4167
21,0.1315,0.7754,0.4527,0.3844,0.3991,0.4121
22,0.1365,0.7694,0.1931,0.2962,0.4807,0.3233
23,0.1450,0.7495,0.3538,0.3080,0.4945,0.3854
24,0.1279,0.7800,0.3143,0.3808,0.4024,0.3659
25,0.1435,0.7561,0.3543,0.2641,0.5146,0.3777
