Episodic Meta-Learning Training Log
==================================================
Epochs: 25, Episodes/Epoch: 400, LR: 0.001, Support: 2, DryRun: False

Epoch,TrainLoss,TrainDice,ValDice_liver,ValDice_heart,ValDice_braintumour,AvgValDice
1,0.3835,0.4908,0.1531,0.3526,0.4388,0.3148
2,0.2690,0.5657,0.1187,0.3042,0.5430,0.3219
3,0.2362,0.6135,0.0177,0.3804,0.4961,0.2981
4,0.2313,0.6233,0.1135,0.3278,0.5149,0.3187
5,0.1977,0.6764,0.3073,0.2564,0.5291,0.3642
6,0.1881,0.6955,0.1754,0.2645,0.5199,0.3199
7,0.1724,0.7204,0.6066,0.5149,0.3516,0.4910
8,0.1725,0.7170,0.5842,0.2691,0.4762,0.4431
9,0.1712,0.7236,0.2781,0.3166,0.4913,0.3620
10,0.1580,0.7438,0.5080,0.3511,0.4732,0.4441
11,0.1595,0.7442,0.1045,0.4248,0.4794,0.3362
12,0.1519,0.7519,0.4621,0.3287,0.4708,0.4205
13,0.1472,0.7643,0.6668,0.4353,0.3507,0.4843
14,0.1303,0.7884,0.4211,0.2890,0.5011,0.4038
15,0.1499,0.7591,0.1897,0.3402,0.5055,0.3451
16,0.1547,0.7483,0.4137,0.4003,0.4697,0.4279
17,0.1380,0.7790,0.0314,0.2815,0.5159,0.2763
18,0.1402,0.7792,0.6213,0.4167,0.4285,0.4888
19,0.1337,0.7846,0.6671,0.3662,0.3797,0.4710
20,0.1298,0.7949,0.6046,0.2701,0.5010,0.4585
21,0.1375,0.7762,0.7057,0.2531,0.1089,0.3559
22,0.1242,0.7997,0.6808,0.3543,0.4320,0.4890
23,0.1269,0.7980,0.2855,0.3280,0.4802,0.3646
24,0.1130,0.8168,0.6409,0.2590,0.4918,0.4639
25,0.1263,0.7960,0.6191,0.4720,0.3319,0.4743
