In-Context Fusion Model Training Log - LIVER (num_layers=3)
==================================================
Epochs: 50, Batch Size: 4, LR: 0.001, Seed: 42
Best Val Dice: 0.9453
Test Loss:     0.0470
Test Dice:     0.9341

Epoch,TrainLoss,TrainDice,ValLoss,ValDice
1,0.2895,0.7032,0.1564,0.7944
2,0.1532,0.7906,0.1309,0.8183
3,0.1310,0.8198,0.1245,0.8298
4,0.1205,0.8340,0.1429,0.8045
5,0.1059,0.8551,0.1009,0.8626
6,0.1002,0.8624,0.0869,0.8828
7,0.0959,0.8696,0.0887,0.8776
8,0.0901,0.8775,0.0919,0.8766
9,0.0824,0.8889,0.0823,0.8880
10,0.0797,0.8924,0.0770,0.8950
11,0.0716,0.9037,0.0738,0.9027
12,0.0715,0.9050,0.0925,0.8746
13,0.0692,0.9078,0.0944,0.8724
14,0.0654,0.9121,0.0642,0.9147
15,0.0598,0.9209,0.0646,0.9140
16,0.0628,0.9163,0.0699,0.9069
17,0.0603,0.9198,0.0724,0.9004
18,0.0655,0.9124,0.0595,0.9202
19,0.0582,0.9224,0.0675,0.9094
20,0.0551,0.9273,0.0634,0.9161
21,0.0542,0.9288,0.0549,0.9267
22,0.0529,0.9304,0.0549,0.9271
23,0.0573,0.9237,0.0543,0.9268
24,0.0501,0.9335,0.0579,0.9259
25,0.0504,0.9333,0.1308,0.8264
26,0.0513,0.9323,0.0544,0.9280
27,0.0464,0.9392,0.0526,0.9274
28,0.0426,0.9443,0.0718,0.9081
29,0.0454,0.9405,0.0466,0.9367
30,0.0439,0.9417,0.0465,0.9374
31,0.0442,0.9420,0.0521,0.9303
32,0.0450,0.9413,0.0550,0.9252
33,0.0454,0.9402,0.0622,0.9153
34,0.0414,0.9456,0.0492,0.9323
35,0.0395,0.9481,0.0725,0.9025
36,0.0399,0.9483,0.0448,0.9400
37,0.0374,0.9512,0.0531,0.9312
38,0.0380,0.9504,0.0539,0.9294
39,0.0379,0.9508,0.0438,0.9409
40,0.0396,0.9482,0.0440,0.9409
41,0.0430,0.9425,0.0462,0.9377
42,0.0370,0.9515,0.0431,0.9427
43,0.0349,0.9552,0.0425,0.9423
44,0.0331,0.9569,0.0409,0.9453
45,0.0345,0.9552,0.0447,0.9389
46,0.0382,0.9503,0.0430,0.9431
47,0.0347,0.9551,0.0456,0.9382
48,0.0334,0.9567,0.0469,0.9348
49,0.0317,0.9589,0.0520,0.9325
50,0.0340,0.9560,0.0407,0.9447
