UniverSeg Baseline Results - Liver (CT)
=============================================
Support Slice Indices: [np.int64(0), np.int64(5)]
Test Slice Indices (30): [np.int64(46), np.int64(6), np.int64(55), np.int64(44), np.int64(12), np.int64(50), np.int64(3), np.int64(39), np.int64(38), np.int64(13), np.int64(42), np.int64(28), np.int64(31), np.int64(56), np.int64(20), np.int64(1), np.int64(21), np.int64(23), np.int64(10), np.int64(25), np.int64(40), np.int64(34), np.int64(53), np.int64(14), np.int64(17), np.int64(22), np.int64(33), np.int64(26), np.int64(29), np.int64(24)]

Test Slice 01 (Index    46): Dice = 0.6179
Test Slice 02 (Index     6): Dice = 0.9615
Test Slice 03 (Index    55): Dice = 0.0506
Test Slice 04 (Index    44): Dice = 0.5853
Test Slice 05 (Index    12): Dice = 0.7732
Test Slice 06 (Index    50): Dice = 0.4080
Test Slice 07 (Index     3): Dice = 0.7846
Test Slice 08 (Index    39): Dice = 0.5936
Test Slice 09 (Index    38): Dice = 0.5221
Test Slice 10 (Index    13): Dice = 0.7419
Test Slice 11 (Index    42): Dice = 0.6672
Test Slice 12 (Index    28): Dice = 0.0000
Test Slice 13 (Index    31): Dice = 0.7193
Test Slice 14 (Index    56): Dice = 0.0000
Test Slice 15 (Index    20): Dice = 0.4499
Test Slice 16 (Index     1): Dice = 0.6897
Test Slice 17 (Index    21): Dice = 0.4350
Test Slice 18 (Index    23): Dice = 0.2551
Test Slice 19 (Index    10): Dice = 0.8571
Test Slice 20 (Index    25): Dice = 0.0289
Test Slice 21 (Index    40): Dice = 0.7121
Test Slice 22 (Index    34): Dice = 0.8116
Test Slice 23 (Index    53): Dice = 0.4121
Test Slice 24 (Index    14): Dice = 0.6686
Test Slice 25 (Index    17): Dice = 0.4973
Test Slice 26 (Index    22): Dice = 0.4115
Test Slice 27 (Index    33): Dice = 0.6009
Test Slice 28 (Index    26): Dice = 0.1544
Test Slice 29 (Index    29): Dice = 0.4103
Test Slice 30 (Index    24): Dice = 0.0379

Mean Dice Score: 0.4953
Std Dice Score:  0.2728
