Zero-Shot Leave-One-Dataset-Out Evaluation Log - BRAINTUMOUR
==================================================
Training Datasets: spleen, liver, heart
Held-Out Test Dataset: braintumour
Epochs: 30
Backbone Frozen: True (UniverSeg pretrained parameters locked)
Batch Size: 8
Learning Rate: 0.001
Support Count: 2
Target Size: (128, 128)

Zero-Shot Results on Held-Out Test Set:
--------------------------------------------------
Test Loss: 0.7412
Test Dice: 0.0278

Baseline Comparisons for BRAINTUMOUR:
--------------------------------------------------
UniverSeg Baseline Dice:   0.1614
Per-Dataset Trained Dice:  0.7524

Numerical Comparison:
--------------------------------------------------
Diff vs UniverSeg Baseline:  -0.1336
Diff vs Per-Dataset-Trained: -0.7246

Training History:
Epoch,TrainLoss,TrainDice,ValLoss,ValDice
1,0.3853,0.4697,0.2914,0.5432
2,0.2636,0.5816,0.2454,0.6354
3,0.2393,0.6202,0.2186,0.6593
4,0.2045,0.6753,0.1840,0.7146
5,0.1924,0.6960,0.1833,0.7173
6,0.1668,0.7368,0.1596,0.7496
7,0.1494,0.7658,0.1389,0.7816
8,0.1378,0.7839,0.1305,0.7995
9,0.1263,0.8022,0.1385,0.7861
10,0.1188,0.8136,0.1163,0.8158
11,0.1104,0.8281,0.1266,0.8016
12,0.1099,0.8286,0.1146,0.8275
13,0.1029,0.8396,0.1071,0.8351
14,0.0975,0.8479,0.1013,0.8452
15,0.1016,0.8411,0.1054,0.8353
16,0.0881,0.8633,0.1105,0.8331
17,0.0872,0.8640,0.0908,0.8584
18,0.0850,0.8684,0.0917,0.8596
19,0.0857,0.8672,0.0900,0.8625
20,0.0848,0.8686,0.0857,0.8670
21,0.0764,0.8814,0.0819,0.8718
22,0.0774,0.8817,0.0869,0.8678
23,0.0751,0.8844,0.0847,0.8705
24,0.0729,0.8871,0.0805,0.8745
25,0.0690,0.8933,0.0870,0.8696
26,0.0716,0.8900,0.0853,0.8687
27,0.0702,0.8927,0.0773,0.8816
28,0.0654,0.8983,0.0828,0.8716
29,0.0632,0.9029,0.0730,0.8879
30,0.0652,0.8998,0.0714,0.8885
