Zero-Shot Leave-One-Dataset-Out Evaluation Log - HEART
==================================================
Training Datasets: spleen, liver, braintumour
Held-Out Test Dataset: heart
Epochs: 30
Backbone Frozen: True (UniverSeg pretrained parameters locked)
Batch Size: 8
Learning Rate: 0.001
Support Count: 2
Target Size: (128, 128)

Zero-Shot Results on Held-Out Test Set:
--------------------------------------------------
Test Loss: 0.6217
Test Dice: 0.1068

Baseline Comparisons for HEART:
--------------------------------------------------
UniverSeg Baseline Dice:   0.3115
Per-Dataset Trained Dice:  0.8336

Numerical Comparison:
--------------------------------------------------
Diff vs UniverSeg Baseline:  -0.2047
Diff vs Per-Dataset-Trained: -0.7268

Training History:
Epoch,TrainLoss,TrainDice,ValLoss,ValDice
1,0.2127,0.6686,0.1944,0.6852
2,0.1810,0.7028,0.1812,0.7038
3,0.1715,0.7181,0.1715,0.7193
4,0.1645,0.7293,0.1766,0.7135
5,0.1585,0.7392,0.1612,0.7353
6,0.1542,0.7465,0.1574,0.7407
7,0.1495,0.7543,0.1547,0.7435
8,0.1468,0.7588,0.1521,0.7504
9,0.1430,0.7650,0.1536,0.7498
10,0.1402,0.7696,0.1499,0.7552
11,0.1381,0.7734,0.1421,0.7648
12,0.1361,0.7767,0.1415,0.7662
13,0.1330,0.7817,0.1394,0.7698
14,0.1310,0.7851,0.1406,0.7680
15,0.1298,0.7872,0.1395,0.7710
16,0.1276,0.7906,0.1348,0.7778
17,0.1257,0.7940,0.1359,0.7759
18,0.1245,0.7961,0.1349,0.7781
19,0.1235,0.7979,0.1382,0.7743
20,0.1222,0.7999,0.1317,0.7833
21,0.1209,0.8020,0.1355,0.7779
22,0.1197,0.8042,0.1328,0.7802
23,0.1185,0.8063,0.1295,0.7853
24,0.1175,0.8079,0.1292,0.7870
25,0.1166,0.8093,0.1305,0.7859
26,0.1158,0.8109,0.1273,0.7899
27,0.1149,0.8122,0.1288,0.7881
28,0.1142,0.8135,0.1277,0.7892
29,0.1129,0.8156,0.1308,0.7838
30,0.1119,0.8172,0.1275,0.7901
