Zero-Shot Leave-One-Dataset-Out Evaluation Log - LIVER
==================================================
Training Datasets: spleen, braintumour, heart
Held-Out Test Dataset: liver
Epochs: 30
Backbone Frozen: True (UniverSeg pretrained parameters locked)
Batch Size: 8
Learning Rate: 0.001
Support Count: 2
Target Size: (128, 128)

Zero-Shot Results on Held-Out Test Set:
--------------------------------------------------
Test Loss: 0.9424
Test Dice: 0.0104

Baseline Comparisons for LIVER:
--------------------------------------------------
UniverSeg Baseline Dice:   0.4953
Per-Dataset Trained Dice:  0.9505

Numerical Comparison:
--------------------------------------------------
Diff vs UniverSeg Baseline:  -0.4849
Diff vs Per-Dataset-Trained: -0.9401

Training History:
Epoch,TrainLoss,TrainDice,ValLoss,ValDice
1,0.2136,0.6587,0.1846,0.6903
2,0.1779,0.7025,0.1713,0.7115
3,0.1682,0.7187,0.1673,0.7178
4,0.1605,0.7316,0.1562,0.7387
5,0.1544,0.7420,0.1591,0.7308
6,0.1494,0.7504,0.1522,0.7445
7,0.1467,0.7551,0.1486,0.7493
8,0.1432,0.7612,0.1539,0.7439
9,0.1397,0.7670,0.1429,0.7590
10,0.1366,0.7723,0.1439,0.7585
11,0.1345,0.7759,0.1396,0.7649
12,0.1325,0.7793,0.1371,0.7697
13,0.1306,0.7824,0.1369,0.7709
14,0.1284,0.7863,0.1406,0.7631
15,0.1268,0.7892,0.1336,0.7747
16,0.1251,0.7921,0.1319,0.7783
17,0.1234,0.7951,0.1312,0.7792
18,0.1219,0.7976,0.1307,0.7811
19,0.1204,0.8002,0.1310,0.7788
20,0.1191,0.8024,0.1300,0.7818
21,0.1182,0.8040,0.1290,0.7842
22,0.1171,0.8058,0.1282,0.7848
23,0.1162,0.8073,0.1271,0.7868
24,0.1155,0.8086,0.1252,0.7897
25,0.1146,0.8103,0.1251,0.7897
26,0.1138,0.8114,0.1245,0.7903
27,0.1129,0.8129,0.1241,0.7913
28,0.1120,0.8145,0.1263,0.7873
29,0.1115,0.8156,0.1274,0.7866
30,0.1104,0.8174,0.1236,0.7920
