Zero-Shot Leave-One-Dataset-Out Evaluation Log - SPLEEN
==================================================
Training Datasets: braintumour, liver, heart
Held-Out Test Dataset: spleen
Epochs: 30
Backbone Frozen: True (UniverSeg pretrained parameters locked)
Batch Size: 8
Learning Rate: 0.001
Support Count: 2
Target Size: (128, 128)

Zero-Shot Results on Held-Out Test Set:
--------------------------------------------------
Test Loss: 0.7157
Test Dice: 0.0147

Baseline Comparisons for SPLEEN:
--------------------------------------------------
UniverSeg Baseline Dice:   0.5581
Per-Dataset Trained Dice:  0.7489

Numerical Comparison:
--------------------------------------------------
Diff vs UniverSeg Baseline:  -0.5434
Diff vs Per-Dataset-Trained: -0.7342

Training History:
Epoch,TrainLoss,TrainDice,ValLoss,ValDice
1,0.2109,0.6662,0.2163,0.6597
2,0.1781,0.7049,0.1689,0.7186
3,0.1661,0.7245,0.1631,0.7276
4,0.1574,0.7388,0.1601,0.7351
5,0.1534,0.7457,0.1528,0.7468
6,0.1475,0.7555,0.1506,0.7478
7,0.1440,0.7613,0.1458,0.7577
8,0.1410,0.7665,0.1451,0.7595
9,0.1375,0.7724,0.1386,0.7684
10,0.1356,0.7756,0.1377,0.7711
11,0.1330,0.7799,0.1367,0.7722
12,0.1301,0.7850,0.1343,0.7769
13,0.1282,0.7881,0.1361,0.7746
14,0.1266,0.7909,0.1331,0.7781
15,0.1250,0.7933,0.1313,0.7807
16,0.1232,0.7966,0.1315,0.7821
17,0.1212,0.8001,0.1264,0.7901
18,0.1197,0.8023,0.1264,0.7897
19,0.1186,0.8044,0.1244,0.7930
20,0.1170,0.8071,0.1286,0.7861
21,0.1164,0.8082,0.1292,0.7842
22,0.1153,0.8100,0.1229,0.7951
23,0.1142,0.8118,0.1265,0.7896
24,0.1131,0.8137,0.1226,0.7951
25,0.1126,0.8145,0.1242,0.7928
26,0.1118,0.8161,0.1214,0.7982
27,0.1111,0.8172,0.1196,0.8013
28,0.1108,0.8178,0.1212,0.7986
29,0.1093,0.8203,0.1236,0.7944
30,0.1084,0.8219,0.1201,0.8004
